iucn_sid,eez_km2,nms_km2,terr_km2
193204,4100,0,3900
193206,4100,0,3900
193209,4100,0,3900
193213,4100,0,3900
193214,62700,29700,12400
193216,3800,0,3600
193217,136300,91600,24100
193221,3800,0,3600
193223,3800,0,3600
193227,4100,0,3900
193229,4100,0,3900
193238,4100,0,3900
193241,3800,0,3600
193244,3800,0,3600
193245,4100,0,3900
193246,3800,0,3600
193248,3800,0,3600
193250,136300,91600,24100
193251,4000,0,3800
193256,3800,0,3600
193318,3800,0,3600
193467,3800,0,3600
193471,3800,0,3600
193472,3800,0,3600
193599,3800,0,3600
193607,600,0,600
193622,4100,0,3900
193623,4100,0,3900
193628,4100,0,3900
193642,4100,0,3900
193656,4100,0,3900
193662,3800,0,3600
193664,300,0,300
193669,3800,0,3600
193671,4100,0,3900
193675,4100,0,3900
193699,4100,0,3900
193712,4100,0,3900
193716,4400,0,4200
193717,73600,61900,11700
193723,3800,0,3600
193733,4100,0,3900
193766,4100,0,3900
193769,1000,1000,0
193775,3800,0,3600
193796,4100,0,3900
193804,4100,0,3900
193810,4100,0,3900
194289,4100,0,3900
194299,4100,0,3900
194307,136700,91900,24100
194331,4100,0,3900
194334,3800,0,3600
194337,4100,0,3900
194342,3800,0,3600
